Quantity,Mean,Median,Std. Dev.,95\% CI
r,1.38,1.37,0.19,"(1.05, 1.79)"
delta,3.53,3.51,0.415,"(2.79, 4.41)"
phi_1,0.113,0.109,0.0298,"(0.0653, 0.182)"
A_1,0.752,0.737,0.15,"(0.507, 1.09)"
A_2,4.24,4.18,0.68,"(3.07, 5.72)"
C1,1.7,1.69,0.256,"(1.26, 2.26)"
B,0.374,0.365,0.0802,"(0.242, 0.551)"
C2,0.747,0.729,0.157,"(0.486, 1.1)"
Gc0,0.214,0.144,0.23,"(0.0269, 0.821)"
Gs0,0.123,0.108,0.0676,"(0.0398, 0.295)"
prim_bite,-5,-4.97,0.497,"(-6.04, -4.09)"
sec_bite,-4.98,-4.96,0.515,"(-6.05, -4.06)"
max_prim,7.73,7.43,2.21,"(4.27, 12.7)"
tmax_prim,2.86,2.78,0.93,"(1.28, 4.98)"
max_sec,9.17,9.02,3.21,"(2.95, 15.7)"
tmax_sec,2.21,2.08,1.52,"(0.131, 5.03)"
cum_prim,40.3,40.2,8.85,"(23.1, 58.2)"
cum_sec,38.5,39.3,10.8,"(15, 57.9)"
v_start_prim,2.18,2.17,0.266,"(1.71, 2.74)"
v_start_sec,2.01,1.96,0.584,"(1.43, 2.81)"
v_end_prim,16.8,16.7,2.66,"(12.1, 23.1)"
v_end_sec,14.5,13.9,3.58,"(9.62, 23.6)"
dur_v_prim,14.6,14.4,2.55,"(10.2, 20.9)"
dur_v_sec,12.4,11.9,3.32,"(8.13, 21.1)"
cross_sat,1.01,0.921,0.53,"(0.284, 2.18)"
