"Serotype","r","delta","phi_1","A_1","A_2","C1","B","C2","Gc0","Gs0","prim_bite","sec_bite"
"DENV1",1.25185,3.11575,0.117847,0.880591,4.91067,1.96427,0.440295,0.880591,0.0808586,0.0882907,-5.77466,-5.07978
"DENV1",1.66381,3.22996,0.0985276,0.936481,4.91064,1.96425,0.34713,0.61422,0.123249,0.177656,-4.52904,-5.34429
"DENV1",1.3038,2.98324,0.0898105,0.982135,3.83352,1.96427,0.383352,0.766703,0.62422,0.25,-3.88474,-5.02243
"DENV1",1.18147,3.12766,0.113449,0.950354,4.91067,1.96427,0.475173,0.950345,0.301345,0.22155,-5.83562,-5.07347
"DENV1",1.23584,3.09389,0.11379,0.880713,4.91067,1.96427,0.440356,0.880713,0.05,0.0680696,-5.07879,-5.43146
"DENV1",1.246,3.06094,0.145818,0.971341,4.91067,1.96427,0.48567,0.971341,0.0500063,0.0513545,-5.5509,-4.30188
"DENV1",1.24367,3.17063,0.0980691,0.845735,4.91067,1.96427,0.422868,0.845735,0.05,0.0727324,-5.35154,-5.43867
"DENV1",1.18123,3.15326,0.113544,0.982135,5.06386,2.02554,0.491067,0.982135,0.0933246,0.089215,-5.20838,-4.3651
"DENV1",1.41482,3.39025,0.0804229,0.503445,2.51722,1.96427,0.342077,0.503445,1,0.1645,-4.30682,-5.00982
"DENV1",1.1999,3.07149,0.129416,0.976838,4.91067,1.96427,0.488419,0.976838,0.0705959,0.0696481,-5.68101,-4.39339
"DENV1",1.17646,3.07984,0.110772,0.927439,4.91067,1.96427,0.463719,0.927439,0.0704118,0.0748652,-5.67113,-5.38539
"DENV1",1.36233,3.29201,0.10736,0.820017,4.91067,1.96427,0.410008,0.820017,0.05,0.0754531,-5.66564,-4.85826
"DENV1",1.12524,3.00996,0.110393,0.982135,5.10874,2.0435,0.491067,0.982135,0.05,0.059885,-5.54219,-5.81704
"DENV1",1.13438,2.96339,0.116333,0.942651,4.91067,1.96427,0.471326,0.942651,0.05,0.0615718,-5.32371,-5.8387
"DENV1",1.29192,3.21157,0.117654,0.89276,4.91067,1.96427,0.44638,0.89276,0.05,0.0676226,-5.8262,-4.80606
"DENV1",1.24244,3.16449,0.107381,0.886013,4.91067,1.96427,0.443006,0.886013,0.05,0.070291,-5.66425,-5.23634
"DENV1",1.65935,3.31359,0.0982028,0.982135,4.8641,1.96427,0.350919,0.701839,0.0875292,0.126643,-5.6587,-4.55689
"DENV1",1.29676,3.25553,0.0980063,0.825057,4.90966,1.96354,0.412527,0.825177,0.0776899,0.0962183,-5.47298,-5.08048
"DENV1",1.28722,3.01146,0.0905952,0.982135,4.24539,1.96427,0.394817,0.789633,0.793186,0.25,-5.71273,-5.14975
"DENV1",1.2645,3.25925,0.106756,0.888272,4.91067,1.96427,0.444136,0.888272,0.0885591,0.0954881,-5.52558,-4.70172
"DENV1",1.29878,2.92842,0.0882909,0.982135,4.01781,1.96427,0.380629,0.761257,0.720846,0.25,-5.05251,-5.56743
"DENV1",1.24607,3.15821,0.11496,0.948206,4.91061,1.96377,0.46051,0.921016,0.19815,0.17888,-5.22244,-4.79076
"DENV1",1.26218,3.26344,0.123059,0.974007,4.91067,1.96427,0.487002,0.974005,0.05,0.0646508,-5.63455,-4.53461
"DENV1",1.7265,3.64867,0.107962,0.636894,4.91067,1.96427,0.318447,0.636894,0.05,0.0892866,-5.06772,-5.07186
"DENV1",1.31429,3.23108,0.104169,0.829557,4.91067,1.96427,0.414778,0.829557,0.05,0.0743042,-5.02946,-5.15759
